Sample ID ,Sex ,Treatment ,ForewingArea,HindwingArea ,ForewingLengthR,ForewingWidthR,HindwingLengthR,HindwingWidthR,ForewingAspectRatio,Forewing Length L,Forewing Width L,Hindwing Length L,Hindwing Width L,Forewing Area L,Hindwing Area L,L_R_LengthAsym,L_R_AreaAsym,Sample ID ,
N1,M,N,6.674,6.182,4.53,2.23,3.101,2.76,2.031390135,3.96,2.064,2.913,2.404,6.436,6.084,-0.57,-0.238,N1,
N2,F,N,6.725,6.306,4.451,2.301,3.213,2.709,1.934376358,4.429,2.282,3.186,2.62,6.571,6.094,-0.022,-0.154,N2,
N3,F,N,7.119,6.832,4.632,2.31,3.39,2.768,2.005194805,4.557,2.38,3.327,2.746,7.123,6.735,-0.075,0.004,N3,
N4,M,N,10.688,10.043,4.467,2.35,3.231,2.699,1.900851064,4.487,2.385,3.295,2.683,6.579,6.413,0.02,,N4,
N5,F,N,6.357,6.003,4.364,2.31,2.876,2.687,1.889177489,4.25,2.272,3.055,2.616,6.147,5.915,-0.114,-0.21,N5,
N7,F,N,7.196,6.741,4.827,2.563,3.193,2.793,1.883339836,4.649,2.458,3.332,2.798,7.303,6.823,-0.178,0.107,N7,
N9 ,M,N,7.014,6.513,4.688,2.369,3.249,2.747,1.978894048,4.411,2.298***,3.195,2.649,6.444,6.224,-0.277,-0.57,N9 ,***small piece missing on forewing
T4,F,T,7.322,6.992,4.559,2.467,3.403,2.845,1.847993514,4.502,2.374,3.323,2.748,7.007,6.77,-0.057,-0.315,T4,
T5,M,T,7.653,7.632,4.776,2.574,3.496,2.999,1.855477855,4.742,2.565,3.454,2.931,7.407,7.133,-0.034,-0.246,T5,
T6,F,T,7.276,6.783,4.648,2.5,3.26,2.845,1.8592,4.612,2.42,3.313,2.82,6.908,6.493,-0.036,-0.368,T6,
T7,F,T,6.547,6.203,4.417,2.331,3.178,2.664,1.894894895,4.232,2.287,3.22,2.487***,6.934,6.537***,-0.185,0.387,T7,L hindwing bent
T10,M,T,7.513,7.085,4.779,2.539,3.499,2.887,1.882237101,4.646,2.493,3.398,2.788,7.526,6.849***,-0.133,0.013,T10,L hindwing bent (smaller area)
T12,F,T,6.888,6.381,4.485,2.782,3.152,2.752,1.612149533,4.454,2.463,3.298,2.693,6.696,6.05,-0.031,-0.192,T12,
T15,M,T,7.964,7.645,4.86,2.632,3.5,2.934,1.846504559,5.487,2.512,3.481,2.863,7.068,6.85,0.627,-0.896,T15,
T13,F,T,6.857,6.652,4.559,2.324,3.299,2.78,1.961703959,4.326,2.327,3.19,2.663,6.454***,6.362,-0.233,,T13,L forewing damage
T14,F,T,7.105,6.603,4.516,2.419,3.33,2.773,1.866887143,4.391,2.418,3.364,2.716,7.153,6.803,-0.125,0.048,T14,
N6,F,N,6.736,6.52,4.326,2.527,3.176,2.835,1.711911357,4.227,2.478,3.194,2.796,6.86,6.623,-0.099,0.124,N6,
